,date ,mean
490,7/6/1996,0.37
492,6/6/1996,0.27
494,5/6/1996,0.3
496,4/6/1996,0.38
498,3/6/1996,0.34
500,2/6/1996,0.5
502,1/6/1996,0.27
504,12/6/1995,0.3
506,11/6/1995,0.45
508,10/6/1995,0.49
510,9/6/1995,0.34
512,8/6/1995,0.48
514,7/6/1995,0.49
516,6/6/1995,0.45
518,5/6/1995,0.29
520,4/6/1995,0.47
522,3/6/1995,0.45
524,2/6/1995,0.77
526,1/6/1995,0.5
528,12/6/1994,0.36
530,11/6/1994,0.46
532,10/6/1994,0.42
534,9/6/1994,0.32
536,8/6/1994,0.23
538,7/6/1994,0.32
540,6/6/1994,0.42
542,5/6/1994,0.29
544,4/6/1994,0.41
546,3/6/1994,0.26
548,2/6/1994,0.04
550,1/6/1994,0.3
552,12/6/1993,0.19
554,11/6/1993,0.07
556,10/6/1993,0.24
558,9/6/1993,0.11
560,8/6/1993,0.13
562,7/6/1993,0.28
564,6/6/1993,0.24
566,5/6/1993,0.26
568,4/6/1993,0.28
570,3/6/1993,0.36
572,2/6/1993,0.39
574,1/6/1993,0.37
576,12/6/1992,0.22
578,11/6/1992,0.04
580,10/6/1992,0.11
582,9/6/1992,0.01
584,8/6/1992,0.1
586,7/6/1992,0.13
588,6/6/1992,0.24
590,5/6/1992,0.32
592,4/6/1992,0.24
594,3/6/1992,0.47
596,2/6/1992,0.42
598,1/6/1992,0.45
600,12/6/1991,0.33
602,11/6/1991,0.31
604,10/6/1991,0.32
606,9/6/1991,0.5
608,8/6/1991,0.42
610,7/6/1991,0.51
612,6/6/1991,0.54
614,5/6/1991,0.39
616,4/6/1991,0.53
618,3/6/1991,0.36
620,2/6/1991,0.51
622,1/6/1991,0.42
624,12/6/1990,0.42
626,11/6/1990,0.46
628,10/6/1990,0.43
630,9/6/1990,0.3
632,8/6/1990,0.3
634,7/6/1990,0.44
636,6/6/1990,0.38
638,5/6/1990,0.46
640,4/6/1990,0.55
642,3/6/1990,0.76
644,2/6/1990,0.41
646,1/6/1990,0.41
648,12/6/1989,0.37
650,11/6/1989,0.21
652,10/6/1989,0.32
654,9/6/1989,0.37
656,8/6/1989,0.36
658,7/6/1989,0.34
660,6/6/1989,0.15
662,5/6/1989,0.17
664,4/6/1989,0.33
666,3/6/1989,0.36
668,2/6/1989,0.35
670,1/6/1989,0.16
672,12/6/1988,0.34
674,11/6/1988,0.13
676,10/6/1988,0.4
678,9/6/1988,0.42
680,8/6/1988,0.46
682,7/6/1988,0.35
684,6/6/1988,0.42
686,5/6/1988,0.44
688,4/6/1988,0.45
690,3/6/1988,0.49
692,2/6/1988,0.42
694,1/6/1988,0.57
696,12/6/1987,0.47
698,11/6/1987,0.25
700,10/6/1987,0.32
702,9/6/1987,0.39
704,8/6/1987,0.28
706,7/6/1987,0.46
708,6/6/1987,0.36
710,5/6/1987,0.26
712,4/6/1987,0.24
714,3/6/1987,0.17
716,2/6/1987,0.46
718,1/6/1987,0.36
720,12/6/1986,0.16
722,11/6/1986,0.11
724,10/6/1986,0.14
726,9/6/1986,0.02
728,8/6/1986,0.12
730,7/6/1986,0.13
732,6/6/1986,0.12
734,5/6/1986,0.26
736,4/6/1986,0.26
738,3/6/1986,0.29
740,2/6/1986,0.39
742,1/6/1986,0.3
744,12/6/1985,0.15
746,11/6/1985,0.09
748,10/6/1985,0.11
750,9/6/1985,0.14
752,8/6/1985,0.15
754,7/6/1985,0.0
756,6/6/1985,0.17
758,5/6/1985,0.17
760,4/6/1985,0.11
762,3/6/1985,0.17
764,2/6/1985,-0.06
766,1/6/1985,0.21
768,12/6/1984,-0.06
770,11/6/1984,0.04
772,10/6/1984,0.15
774,9/6/1984,0.2
776,8/6/1984,0.15
778,7/6/1984,0.16
780,6/6/1984,0.04
782,5/6/1984,0.33
784,4/6/1984,0.08
786,3/6/1984,0.29
788,2/6/1984,0.17
790,1/6/1984,0.3
792,12/6/1983,0.17
794,11/6/1983,0.3
796,10/6/1983,0.15
798,9/6/1983,0.38
800,8/6/1983,0.3
802,7/6/1983,0.15
804,6/6/1983,0.18
806,5/6/1983,0.35
808,4/6/1983,0.3
810,3/6/1983,0.42
812,2/6/1983,0.4
814,1/6/1983,0.52
816,12/6/1982,0.43
818,11/6/1982,0.14
820,10/6/1982,0.13
822,9/6/1982,0.15
824,8/6/1982,0.08
826,7/6/1982,0.13
828,6/6/1982,0.05
830,5/6/1982,0.16
832,4/6/1982,0.1
834,3/6/1982,-0.01
836,2/6/1982,0.14
838,1/6/1982,0.09
840,12/6/1981,0.4
842,11/6/1981,0.21
844,10/6/1981,0.13
846,9/6/1981,0.17
848,8/6/1981,0.35
850,7/6/1981,0.35
852,6/6/1981,0.31
854,5/6/1981,0.25
856,4/6/1981,0.32
858,3/6/1981,0.48
860,2/6/1981,0.41
862,1/6/1981,0.56
864,12/6/1980,0.21
866,11/6/1980,0.3
868,10/6/1980,0.2
870,9/6/1980,0.21
872,8/6/1980,0.24
874,7/6/1980,0.28
876,6/6/1980,0.16
878,5/6/1980,0.34
880,4/6/1980,0.32
882,3/6/1980,0.29
884,2/6/1980,0.42
886,1/6/1980,0.3
888,12/6/1979,0.47
890,11/6/1979,0.29
892,10/6/1979,0.26
894,9/6/1979,0.27
896,8/6/1979,0.14
898,7/6/1979,0.03
900,6/6/1979,0.14
902,5/6/1979,0.06
904,4/6/1979,0.13
906,3/6/1979,0.19
908,2/6/1979,-0.09
910,1/6/1979,0.14
912,12/6/1978,0.11
914,11/6/1978,0.16
916,10/6/1978,0.0
918,9/6/1978,0.05
920,8/6/1978,-0.18
922,7/6/1978,0.07
924,6/6/1978,-0.03
926,5/6/1978,0.07
928,4/6/1978,0.15
930,3/6/1978,0.21
932,2/6/1978,0.14
934,1/6/1978,0.08
936,12/6/1977,0.05
938,11/6/1977,0.2
940,10/6/1977,0.04
942,9/6/1977,0.02
944,8/6/1977,0.19
946,7/6/1977,0.23
948,6/6/1977,0.25
950,5/6/1977,0.3
952,4/6/1977,0.27
954,3/6/1977,0.25
956,2/6/1977,0.2
958,1/6/1977,0.18
960,12/6/1976,0.09
962,11/6/1976,-0.06
964,10/6/1976,-0.26
966,9/6/1976,-0.09
968,8/6/1976,-0.18
970,7/6/1976,-0.12
972,6/6/1976,-0.15
974,5/6/1976,-0.23
976,4/6/1976,-0.1
978,3/6/1976,-0.21
980,2/6/1976,-0.06
982,1/6/1976,0.0
984,12/6/1975,-0.17
986,11/6/1975,-0.16
988,10/6/1975,-0.09
990,9/6/1975,-0.03
992,8/6/1975,-0.2
994,7/6/1975,-0.03
996,6/6/1975,-0.02
998,5/6/1975,0.16
